word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
pilot,/ˈpaɪ.lət/,飞行员 ,B1,a fighter/helicopter/bomber/airline pilot,noun,a person who flies an aircraft:,,
pink,/pɪŋk/,粉色的,B1,pretty pink flowers,"adjective, noun",of a pale red colour:,,
pin,/pɪn/,别针 ,B1,I'll keep the trouser patch in place with pins while I sew it on.,"noun, verb","a small thin piece of metal with a point at one end, especially used for temporarily holding pieces of cloth together:",,
pipe,/paɪp/,管道 ,B1,a water/gas/sewer pipe,noun,a tube inside which liquid or gas flows from one place to another:,,
plain,/pleɪn/,清楚的 ,B1,She wore a plain black dress.,adjective,not decorated in any way; with nothing added:,,
poem,未知音标,诗 ,B1,a book of love poems,noun,"a piece of writing in which the words are arranged in separate lines, often ending in rhyme, and are chosen for their sound and for the images and ideas they suggest:",,
place,/pleɪs/,地方,B1,Her garden was a cool pleasant place to sit.,noun,"an area, town, building, etc.:",,
plane,/pleɪn/,飞机,B1,a fighter/transport/passenger plane,noun,"a vehicle designed for air travel, with wings and one or more engines:",level,
pitch,/pɪtʃ/,沥青 ,B1,a football/hockey/cricket pitch,noun,"an area painted with lines for playing particular sports, especially football:",,
plan,/plæn/,计划 ,B1,a company's business plan,"noun, verb",a set of decisions about how to do something in the future:,,
pocket,/ˈpɒk.ɪt/,口袋 ,B1,a trouser pocket,noun,"a small bag for carrying things in, made of cloth and sewn into the inside or onto the outside of a piece of clothing:",tackle box,
poetry,/ˈpəʊ.ɪ.tri/,诗 ,B1,contemporary poetry and prose,noun,poems in general as a form of literature:,,
poet,/ˈpəʊ.ɪt/,诗人,B1,This is an example sentence using the word 'poet'.,noun,a person who writes poems,,
pointed,/ˈpɔɪn.tɪd/,尖,B1,He's got funny little pointed ears.,adjective,"A pointed object has a thin, sharp end or becomes much narrower at one end:",,
poison,/ˈpɔɪ.zən/,毒 ,B1,The pest control officer put bowls of rat poison in the attic.,"noun, verb",a substance that can make people or animals ill or kill them if they eat or drink it:,,
poisonous,/ˈpɔɪ.zən.əs/,有毒 ,B1,poisonous chemicals,adjective,very harmful and able to cause illness or death:,"venomous (POISON),toxic (POISONOUS)",
police,/pəˈliːs/,警察,B1,I think you should call the police.,noun,"the official organization that is responsible for protecting people and property, making people obey the law, finding out about and solving crime, and catching people who have committed a crime:",,
policeman,/pəˈliːs.mən/,警察 ,B1,This is an example sentence using the word 'policeman'.,noun,a male member of a police force,,
point,/pɔɪnt/,观点 ,B1,I'd like to discuss the first point in your essay.,noun,"an idea, opinion, or piece of information that is said or written:",,
policy,/ˈpɒl.ə.si/,政策 ,B1,They believe that Europe needs a common foreign and security policy.,noun,"a set of ideas or a plan of what to do in particular situations that has been agreed to officially by a group of people, a business organization, a government, or a political party:",,
polite,/pəˈlaɪt/,有礼貌的,B1,I'm afraid I wasn't very polite to her.,adjective,behaving in a way that is socially correct and shows understanding of and care for other people's feelings:,,
political,/pəˈlɪt.ɪ.kəl/,政治的 ,B1,political leaders,adjective,relating to politics:,,
politician,/ˌpɒl.ɪˈtɪʃ.ən/,政治家 ,B1,a distinguished/disgraced politician,noun,a member of a government or law-making organization:,,
pollution,/pəˈluː.ʃən/,污染 ,B1,air/water pollution,noun,"damage caused to water, air, etc. by harmful substances or waste:",,
politics,/ˈpɒl.ə.tɪks/,政治,B1,Joe is very active in left-wing politics.,noun,"the activities of the government, members of law-making organizations, or people who try to influence the way a country is governed:",,
pool,/puːl/,水池 ,B1,We looked for crabs in the rock pools along the seashore.,noun,a small area of usually still water:,,
popularity,/ˌpɒp.jəˈlær.ə.ti/,受欢迎程度,B1,the increasing popularity of organic food,noun,"the fact that something or someone is liked, enjoyed, or supported by many people:",,
popular,/ˈpɒp.jə.lər/,受欢迎的 ,B1,She's the most popular teacher in school.,adjective,"liked, enjoyed, or supported by many people:",,
poor,/pɔːr/,贫穷的,B1,Most of the world's poorest countries are in Africa.,adjective,having little money and/or few possessions:,,
population,/ˌpɒp.jəˈleɪ.ʃən/,人口 ,B1,Ten percent of the population lived in poverty.,noun,"all the people living in a particular country, area, or place:",,
pop,/pɒp/,流行音乐 ,B1,pop music,"noun, adjective","modern popular music, usually with a strong beat, created with electrical or electronic equipment, and easy to listen to and remember:",,
portrait,/ˈpɔː.trət/,肖像,B1,She's commissioned an artist to paint her portrait/paint a portrait of her.,noun,"a painting, photograph, drawing, etc. of a person or, less commonly, of a group of people:",,
port,/pɔːt/,港口 ,B1,a naval/fishing/container port,noun,"a town by the sea or by a river that has a harbour, or the harbour itself:",,
pose,/pəʊz/,姿势 ,B1,Nuclear weapons pose a threat to everyone.,verb,"to cause something, especially a problem or difficulty:",,
possess,/pəˈzes/,具有 ,B1,I don't possess a single DVD (= I don't have even one DVD).,verb,"to have or own something, or to have a particular quality:",,
position,/pəˈzɪʃ.ən/,位置 ,B1,"Well, I've found our position on the map if you want to see where we are.",noun,"the place where something or someone is, often in relation to other things:",,
possibility,/ˌpɒs.əˈbɪl.ə.ti/,可能性,B1,It's not likely to happen but I wouldn't rule out the possibility.,noun,a chance that something may happen or be true:,,
positive,/ˈpɒz.ə.tɪv/,积极的,B1,a positive attitude,adjective,"full of hope and confidence, or giving cause for hope and confidence:",,
possible,/ˈpɒs.ə.bəl/,可能的 ,B1,I can't get it all done by Friday - it's just not possible.,adjective,"able to be done or achieved, or able to exist:",,
possession,/pəˈzeʃ.ən/,拥有 ,B1,The possession of large amounts of money does not ensure happiness.,noun,the fact that you have or own something:,,
possibly,/ˈpɒs.ə.bli/,可能 ,B1,"He may possibly decide not to come, in which case there's no problem.",adverb,used when something is not certain:,,
poster,/ˈpəʊ.stər/,海报 ,B1,The children put up posters on the classroom walls.,noun,"a large printed picture, photograph, or notice that you stick or pin to a wall or board, usually for decoration or to advertise something:",,
post,/pəʊst/,邮政,B1,I'd been away for a few days so I had a lot of post waiting for me.,"noun, verb","letters, etc. that are delivered to homes or places of work:",free-throw lane,
potato,/pəˈteɪ.təʊ/,土豆,B1,boiled/roasted/fried potatoes,noun,"a round vegetable that grows underground and has white flesh with light brown, red, or pink skin, or the plant on which these grow:",,
pour,/pɔːr/,倒,B1,I spilled the juice while I was pouring it.,verb,"to make a substance flow from a container, especially into another container, by raising just one side of the container that the substance is in:",,
pot,/pɒt/,锅 ,B1,Fill a large pot with salted water and bring it to the boil.,noun,"any of various types of container, usually round, especially one used for cooking food:",plant (LIVING THING),
pound,/paʊnd/,磅 ,B1,a one-pound/two-pound coin,noun,the standard unit of money used in the UK and some other countries:,,
poverty,/ˈpɒv.ə.ti/,贫困 ,B1,Two million people in the city live in abject (= very great) poverty.,noun,the condition of being extremely poor:,,
potential,/pəˈten.ʃəl/,潜在的 ,B1,A number of potential buyers have expressed interest in the company.,"adjective, noun",possible when the necessary conditions exist:,,
powder,/ˈpaʊ.dər/,粉末 ,B1,curry/chilli powder,noun,"a loose, dry substance that consists of extremely small pieces, usually made by breaking something up and crushing it:",,
powerful,/ˈpaʊə.fəl/,强大的 ,B1,The president is more powerful than the prime minister.,adjective,having a lot of power to control people and events:,,powerless
planning,/ˈplæn.ɪŋ/,规划 ,B1,Events like these take months of careful planning.,noun,the act of deciding how to do something:,,
practical,/ˈpræk.tɪ.kəl/,实际的 ,B1,Qualifications are important but practical experience is always a plus.,adjective,"relating to experience, real situations, or actions rather than ideas or imagination:",,
practice,/ˈpræk.tɪs/,实践,B1,"How do you intend to put these proposals into practice, Mohamed?",noun,action rather than thought or ideas:,,
planet,/ˈplæn.ɪt/,行星 ,B1,the planet Earth/Venus,noun,"an extremely large, round mass of rock and metal, such as Earth, or of gas, such as Jupiter, that moves in a circular path around the sun or another star:",,
power,/paʊər/,力量,B1,I've no power over him - he does what he wants to.,noun,ability to control people and events:,,
plant,/plɑːnt/,植物,B1,native plants and animals,noun,"a living thing that grows in earth, in water, or on other plants, usually has a stem, leaves, roots, and flowers, and produces seeds:",,
plastic,/ˈplæs.tɪk/,塑料 ,B1,He put a sheet of plastic over the broken window.,"noun, adjective",an artificial substance that can be shaped when soft into many different forms and has many different uses:,,
pleasant,/ˈplez.ənt/,令人愉快的,B1,a pleasant climate/smile/person,adjective,"enjoyable, attractive, friendly, or easy to like:",,
player,/ˈpleɪ.ər/,球员 ,B1,Each player takes three cards.,noun,someone who takes part in a game or sport:,,
platform,/ˈplæt.fɔːm/,平台,B1,The next train for Aberdeen will depart from platform 9.,noun,a flat raised area or structure,,
plate,/pleɪt/,盘子 ,B1,paper/plastic/china plates,noun,"a flat, usually round dish with a slightly raised edge that you eat from or serve food from:",,
pleased,/pliːzd/,很高兴 ,B1,a pleased expression/smile,adjective,happy or satisfied:,,
please,/pliːz/,请 ,B1,"Could I have two coffees and a tea, please?",exclam.,used to make a request more polite:,,
play,/pleɪ/,玩 ,B1,The children spent the afternoon playing with their new toys.,"verb, noun","When you play, especially as a child, you spend time doing an enjoyable and/or entertaining activity:",,
pleasure,/ˈpleʒ.ər/,乐趣,B1,His visits gave his grandparents such pleasure.,noun,"enjoyment, happiness, or satisfaction, or something that gives this:",,
plenty,/ˈplen.ti/,很多 ,B1,"""Would you like some more wine?"" ""No thanks, I've had plenty.""",pronoun,"(the state of having) enough or more than enough, or a large amount:",,
praise,/preɪz/,称赞 ,B1,He should be praised for his honesty.,"noun, verb",to express admiration or approval of the achievements or characteristics of a person or thing:,,
pray,/preɪ/,祈祷,B1,She knelt and prayed silently.,verb,"to speak to a god either privately or in a religious ceremony in order to express love, admiration, or thanks or in order to ask for something:",,
practise,/ˈpræk.tɪs/,实践 ,B1,I'm quite good at tennis but I need to practise my serve.,verb,to do or play something regularly or repeatedly in order to become skilled at it:,,
